,Field Name,Year,gwp,Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Transport Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Emissions Intensity (kgCO2eq/boe),Midstream Emissions Intensity (kgCO2eq/boe),Transport Emissions Intensity (kgCO2eq/boe),Downstream Emissions Intensity (kgCO2eq/boe)
204,Akshabulak,2015,20,0.8229869228351347,0.0085544273276266,0.002257122896928,0.0194442810858559,95.46869037154909,31.99370066738883,14.593555736299516,364.050603201794
205,Akshabulak,2015,100,0.8229869228351347,0.008302788640808,0.002257122896928,0.0193687082228488,47.52432496556364,31.325098091016216,13.382810773983298,363.0384490663604
206,Akshabulak,2016,20,1.014904953140117,0.0084413657360111,0.002255920598053,0.0193745143327531,115.65945158690128,31.783900782438707,14.584202742856643,363.6516089636273
207,Akshabulak,2016,100,1.014904953140117,0.0081930528908128,0.002255920598053,0.0192999255608375,57.22001123750121,31.118945595113168,13.374400899384632,362.6425782600144
208,Akshabulak,2017,20,0.9865291367607938,0.0084282967378962,0.002254640824862,0.0193603219052457,112.62958278492366,31.71748374444834,14.574326902870734,363.39658617854656
209,Akshabulak,2017,100,0.9865291367607938,0.0081803683328711,0.002254640824862,0.019285849801147,55.70264624486453,31.053977208970892,13.365513605633527,362.38825080556137
210,Akshabulak,2018,20,1.0758068578242488,0.0084471394091064,0.0022554399814885,0.0193751655777085,122.22230616755616,31.774553632418858,14.580493888570258,363.57273089559584
211,Akshabulak,2018,100,1.0758068578242488,0.0081986567244249,0.0022554399814885,0.0193005279365172,60.39938110264308,31.10990081558703,13.371063291892998,362.5636995150085
212,Akshabulak,2019,20,0.7958168159072024,0.0084302596193316,0.0022546651194174,0.0193615515153573,92.60591594309784,31.721502989608197,14.574589271488977,363.4041396812748
213,Akshabulak,2019,100,0.7958168159072024,0.0081822734738069,0.0022546651194174,0.0192870623175447,46.05838083912407,31.057923931481703,13.36574281482995,362.3957490793359
214,Akshabulak,2020,20,0.685464483784905,0.0084264603401746,0.0022546746858935,0.0193594755104957,81.47912980869758,31.70568207120489,14.571539123151023,363.39988216166006
215,Akshabulak,2020,100,0.685464483784905,0.0081785859549796,0.0022546746858935,0.0192850192540336,40.95578234718218,31.042440065636956,13.363285677851072,362.3915818762224
216,Akshabulak,2021,20,0.7926071028341604,0.0082600357511461,0.0022470779962158,0.0192254799324286,92.38854524155671,31.19208550708241,14.51596555722351,361.7455454324225
217,Akshabulak,2021,100,0.7926071028341604,0.0080170569438119,0.0022470779962158,0.0191524871286909,45.70246587479024,30.539199288087225,13.312994080892686,360.7435502437372
218,Akshabulak,2022,20,0.7515590158304886,0.0083566504921757,0.0022513934326169,0.0193027600059671,87.96200967916207,31.49301747387844,14.549341936324192,362.68860206390445
219,Akshabulak,2022,100,0.7515590158304886,0.0081108296469553,0.0022513934326169,0.0192289178635346,43.70000989503668,30.83405134894076,13.343022688036278,361.68297431174886
3788,Kalamkas,2015,20,0.6750714520022373,0.0046553471584036,0.0025987454361242,0.0222817379129071,92.24347065307988,46.68748897846741,16.86950256616929,402.6637826735957
3789,Kalamkas,2015,100,0.6750714520022373,0.0045183862600473,0.0025987454361242,0.0222043622444402,48.69686070616007,46.23728133635088,15.481541885246706,401.4926216075333
3790,Kalamkas,2016,20,1.123941576997583,0.0046651443650121,0.0026011037474958,0.022307743022224,136.90872195718015,46.78732024131797,16.881808546820274,403.060637703771
3791,Kalamkas,2016,100,1.123941576997583,0.0045278952316063,0.0026011037474958,0.0222301942910608,69.17388619846399,46.33613847293745,15.49320650003546,401.88816101450266
3792,Kalamkas,2017,20,1.0624230374746209,0.0046628974457658,0.0026006841028648,0.0223026925645515,130.8633051823599,46.76478560527888,16.878918019986692,402.9888252290655
3793,Kalamkas,2017,100,1.0624230374746209,0.0045257144170066,0.0026006841028648,0.0222251811839445,66.3429907806942,46.313821143999625,15.49056480273225,401.816601162508
3794,Kalamkas,2018,20,1.0077367668493116,0.0046609011380449,0.0026003112635569,0.022298205412794,125.56652035280126,46.744764383784286,16.87634988984823,402.92502240306646
3795,Kalamkas,2018,100,1.0077367668493116,0.0045237768409097,0.0026003112635569,0.0222207272168258,63.88167296398706,46.293992992124586,15.488217748768854,401.7530227827897
3796,Kalamkas,2019,20,0.9539465558640507,0.0046589375704437,0.0025999445389393,0.0222937918518381,120.37654557006056,46.72507151707182,16.873823877909814,402.8622659649232
3797,Kalamkas,2019,100,0.9539465558640507,0.004521871041714,0.0025999445389393,0.0222163462962694,61.4748019148017,46.27449002862484,15.4859091872817,401.69048710993263
3798,Kalamkas,2020,20,0.9529365889169592,0.0046589065391838,0.0025999387434031,0.0222937221020839,120.79649466240816,46.72476030065887,16.873783958055277,402.8612741929352
3799,Kalamkas,2020,100,0.9529365889169592,0.0045218409233976,0.0025999387434031,0.0222162770623482,61.79571178533693,46.27418181334917,15.485872703907514,401.689498826811
3800,Kalamkas,2021,20,0.9527710579126436,0.0046589065391838,0.0025999387434032,0.0222937221020839,121.31162298378727,46.72476030065885,16.873783958055277,402.8612741929351
3801,Kalamkas,2021,100,0.9527710579126436,0.0045218409233976,0.0025999387434032,0.0222162770623482,62.163264629665406,46.27418181334916,15.485872703907514,401.6894988268109
3802,Kalamkas,2022,20,0.9526038443486688,0.0046589065391838,0.0025999387434032,0.0222937221020839,121.83774403779188,46.72476030065886,16.873783958055277,402.861274192935
